id,image_path,audio_path,text
1,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/1.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/1.mp3,title:GYXX/光影行星宙斯Z双肩包男背包机能旅行大容量机车骑行电脑书包 | 商品名称:GYXX/光影行星宙斯Z双肩包男背包机能旅行大容量机车骑行电脑书包 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:585 | 店铺名称:光影行星旗舰店 | 所属地区名称:广东 | ASR:GYXX光影行星周四次一双舰包南背包技能旅行大容量汽车齐行电脑收包
2,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/2.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/2.mp3,title:STK SmallTownKid白蛇断处双肩包仿皮纹理书包电脑包旅行包男女潮 | 商品名称:STK SmallTownKid白蛇断处双肩包仿皮纹理书包电脑包旅行包男女潮 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:399 | 店铺名称:SmallTownKid | 所属地区名称:浙江 | ASR:Stalks Morton Kid白蛇断处双肩包反皮纹理书包电脑包旅行包男女潮
3,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/3.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/3.mp3,title:波斯丹顿潮牌双肩背包男旅行大容量防水电脑书包女2025新款大学生 | 商品名称:波斯丹顿潮牌双肩背包男旅行大容量防水电脑书包女2025新款大学生 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:149 | 店铺名称:波斯丹顿旗舰店 | 所属地区名称:广东 | ASR:波斯单顿朝牌双肩背包男旅行大容量防水电脑数包女2025新款大学生。
4,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/4.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/4.mp3,title:JanSport初中学生书包女双肩背包通勤户外旅行大容量男士电脑 | 商品名称:JanSport初中学生书包女双肩背包通勤户外旅行大容量男士电脑 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:208 | 店铺名称:jansport旗舰店 | 所属地区名称:广东 | ASR:Jansport 初中学生输包女双监被包通勤户外旅行大容量南式电脑。
5,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/5.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/5.mp3,title:音速猫全能书包大容量背包男女初高中生双肩旅行包 | 商品名称:音速猫全能书包大容量背包男女初高中生双肩旅行包 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:168 | 店铺名称:音速猫旗舰店 | 所属地区名称:广东 | ASR:因阻猫全能收包大容量背包男女出高中生双肩旅行包。
6,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/6.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/6.mp3,title:Champion冠军双肩包女2025秋冬新款书包男户外背包校园轻便通勤包 | 商品名称:Champion冠军双肩包女2025秋冬新款书包男户外背包校园轻便通勤包 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:224 | 店铺名称:Champion官方旗舰店 | 所属地区名称:上海 | ASR:称片冠军双舰包女2025秋冬新款收包男户外背包校园清辨通警包
7,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/7.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/7.mp3,title:「卢昱晓同款」ITO TRUFFLE 2空气包旅游轻便双肩包女电脑 | 商品名称:「卢昱晓同款」ITO TRUFFLE 2空气包旅游轻便双肩包女电脑 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:786 | 店铺名称:ito旗舰店 | 所属地区名称:上海 | ASR:卢玉晓同款Ido Travel 2 空气暴律由轻便双间包女电脑。
8,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/8.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/8.mp3,title:韩国ins风小众潮牌男包皮质大包多功能单肩斜挎包潮手提包健身包 | 商品名称:韩国ins风小众潮牌男包皮质大包多功能单肩斜挎包潮手提包健身包 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:168 | 店铺名称:NESBIT官方店 | 所属地区名称:广东 | ASR:韩国用疯小众朝牌南包皮制大包多功能单坚协跨包朝手提包建身包。
9,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/9.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/9.mp3,title:Dickies双肩背大容量电脑旅行男士商务出差初中高中大学生书包新 | 商品名称:Dickies双肩背大容量电脑旅行男士商务出差初中高中大学生书包新 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:216 | 店铺名称:dickies箱包旗舰店 | 所属地区名称:广东 | ASR:Duky's双肩被大容量电脑旅行男士商务出差出中高中大学生输包心。
10,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/10.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/10.mp3,title:ROGISI陆杰士 50L野营登山包 户外男女防水双肩包 BN-017 | 商品名称:ROGISI陆杰士 50L野营登山包 户外男女防水双肩包 BN-017 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:136 | 店铺名称:rogisi博瑞祥店 | 所属地区名称:北京 | ASR:Rogis-Y-Lujie-S-506 也赢登山包户外男女防水双肩包BN-017
11,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/11.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/11.mp3,title:贰狸手作复古帆布包男女生单肩斜挎多背法包大容量休闲通勤手提包 | 商品名称:贰狸手作复古帆布包男女生单肩斜挎多背法包大容量休闲通勤手提包 | label:背包 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:76.3 | 店铺名称:贰狸 | 所属地区名称:浙江 | ASR:二离手做复古翻步包男女生单尖协跨多卑法包大容量修嫌通勤手提包。
