id,image_path,audio_path,text,shard_id,local_idx,global_idx
251,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/251.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/251.mp3,title:侧开盖旅行箱宽拉杆铝框女24寸大容量可扩展密码箱行李箱男生20寸 | 商品名称:侧开盖旅行箱宽拉杆铝框女24寸大容量可扩展密码箱行李箱男生20寸 | label:行李箱 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:376 | 店铺名称:木星飞行旗舰店 | 所属地区名称:浙江 | ASR:测开盖旅行乡宽拉杆旅逛女24寸大容量可扩展密码乡行李乡男生20寸。,1,0,250
252,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/252.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/252.mp3,title:新款侧开口行李箱女大容量可扩展PC拉杆箱20寸登机箱男静音旅行 | 商品名称:新款侧开口行李箱女大容量可扩展PC拉杆箱20寸登机箱男静音旅行 | label:行李箱 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:156 | 店铺名称:卡尼箱包 | 所属地区名称:浙江 | ASR:新款厕开口行李箱女大容量可扩展 PCIe拉干箱20寸登机箱南镜音旅行。,1,1,251
253,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/253.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/253.mp3,"title:终于找到了一款实用又好看的行李箱，多色可选，赠送贴纸箱套！ | 商品名称:终于找到了一款实用又好看的行李箱，多色可选，赠送贴纸箱套！ | label:行李箱 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:363 | 店铺名称:御旅旗舰店 | 所属地区名称:浙江 | ASR:终于找到了一款食用又好看的行李箱,多色可选,正送贴纸箱套。",1,2,252
254,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/254.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/254.mp3,title:超大容量侧开口行李箱静音可扩展20寸登机箱翻盖拉杆箱女PC旅行 | 商品名称:超大容量侧开口行李箱静音可扩展20寸登机箱翻盖拉杆箱女PC旅行 | label:行李箱 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:158 | 店铺名称:梵玲旅行箱 | 所属地区名称:浙江 | ASR:超打容量测开口行李箱静音可扩展20吋登机箱翻改拉杆箱与PC旅行。,1,3,253
255,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/255.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/255.mp3,title:PC材质耐磨行李箱男士高级感24拉杆箱女20飞机可带登机26寸旅行 | 商品名称:PC材质耐磨行李箱男士高级感24拉杆箱女20飞机可带登机26寸旅行 | label:行李箱 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:232 | 店铺名称:圣斯顿保罗工厂总店 | 所属地区名称:河北 | ASR:PC材质耐磨行李箱男士高级感24拉肝相女20飞机可带登机26寸旅行,1,4,254
256,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/256.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/256.mp3,title:汉客旅行箱万向轮 商务拉杆箱男24/20寸女登机箱软箱子密码 | 商品名称:汉客旅行箱万向轮 商务拉杆箱男24/20寸女登机箱软箱子密码 | label:行李箱 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:251 | 店铺名称:汉客旗舰店 | 所属地区名称:广东 | ASR:汉客旅行乡万象伦商务拉干乡南20分之24寸 女灯鸡乡软乡紫密码。,1,5,255
257,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/257.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/257.mp3,title:行李箱女2025新款拉杆箱可登机20寸24小型28旅行密码皮箱子静音轮 | 商品名称:行李箱女2025新款拉杆箱可登机20寸24小型28旅行密码皮箱子静音轮 | label:行李箱 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:82 | 店铺名称:米曼尼旗舰店 | 所属地区名称:江西 | ASR:行李箱女2025 新款拉干箱可登基20寸24小型28旅行密码批箱子竞英伦。,1,6,256
258,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/258.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/258.mp3,"title:旅行箱行李箱铝框20拉杆箱万向轮24女男学生26登机密码皮子28寸 | 商品名称:旅行箱行李箱铝框20拉杆箱万向轮24女男学生26登机密码皮子28寸 | label:行李箱 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:91 | 店铺名称:卡帝乐鳄鱼宏丰专卖店 | 所属地区名称:浙江 | ASR:旅行香、行利香、旅逛,20拉干香、万香轮,24女男学生,26登机密码皮子,28寸。",1,7,257
259,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/259.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/259.mp3,title:瑞士军刀新款大容量行李箱女28寸轻便PC旅行箱24男结实耐用拉杆箱 | 商品名称:瑞士军刀新款大容量行李箱女28寸轻便PC旅行箱24男结实耐用拉杆箱 | label:行李箱 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:361 | 店铺名称:wemgesabre箱包旗舰店 | 所属地区名称:广东 | ASR:瑞士军刀新款大容量行李相女28寸清变 PCIe旅行箱24男皆使耐用拉杆箱。,1,8,258
260,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/images_part/260.jpg,/home/zhaoshuai/workspace/CommoditySemanticAlignmentDemo/datas/origin_datas/audio_part/260.mp3,title:2025新款行李箱20寸旅行箱24寸拉杆箱结实耐用加厚箱包女PC可扩展 | 商品名称:2025新款行李箱20寸旅行箱24寸拉杆箱结实耐用加厚箱包女PC可扩展 | label:行李箱 | Llabel:出行用品 | 商品分类:出行用品 | 商品价格:278 | 店铺名称:frontwalker箱包旗舰店 | 所属地区名称:浙江 | ASR:2025新款行李箱20寸旅行箱24寸拉干箱接时耐用加后相包女PC可扩展,1,9,259
