id,audio_path,image_path,json_path,asr_text,real_text
1,../../datas/origin_datas/audio_part/1.mp3,../../datas/origin_datas/images_part/1.jpg,../../datas/origin_datas/new_data_by_keys/1.json,GYXX光影行星周四次一双舰包南背包技能旅行大容量汽车齐行电脑收包,GYXX/光影行星宙斯Z双肩包男背包机能旅行大容量机车骑行电脑书包
2,../../datas/origin_datas/audio_part/2.mp3,../../datas/origin_datas/images_part/2.jpg,../../datas/origin_datas/new_data_by_keys/2.json,Stalks Morton Kid白蛇断处双肩包反皮纹理书包电脑包旅行包男女潮,STK SmallTownKid白蛇断处双肩包仿皮纹理书包电脑包旅行包男女潮
3,../../datas/origin_datas/audio_part/3.mp3,../../datas/origin_datas/images_part/3.jpg,../../datas/origin_datas/new_data_by_keys/3.json,波斯单顿朝牌双肩背包男旅行大容量防水电脑数包女2025新款大学生。,波斯丹顿潮牌双肩背包男旅行大容量防水电脑书包女2025新款大学生
4,../../datas/origin_datas/audio_part/4.mp3,../../datas/origin_datas/images_part/4.jpg,../../datas/origin_datas/new_data_by_keys/4.json,Jansport 初中学生输包女双监被包通勤户外旅行大容量南式电脑。,JanSport初中学生书包女双肩背包通勤户外旅行大容量男士电脑
5,../../datas/origin_datas/audio_part/5.mp3,../../datas/origin_datas/images_part/5.jpg,../../datas/origin_datas/new_data_by_keys/5.json,因阻猫全能收包大容量背包男女出高中生双肩旅行包。,音速猫全能书包大容量背包男女初高中生双肩旅行包
6,../../datas/origin_datas/audio_part/6.mp3,../../datas/origin_datas/images_part/6.jpg,../../datas/origin_datas/new_data_by_keys/6.json,称片冠军双舰包女2025秋冬新款收包男户外背包校园清辨通警包,Champion冠军双肩包女2025秋冬新款书包男户外背包校园轻便通勤包
7,../../datas/origin_datas/audio_part/7.mp3,../../datas/origin_datas/images_part/7.jpg,../../datas/origin_datas/new_data_by_keys/7.json,卢玉晓同款Ido Travel 2 空气暴律由轻便双间包女电脑。,「卢昱晓同款」ITO TRUFFLE 2空气包旅游轻便双肩包女电脑
8,../../datas/origin_datas/audio_part/8.mp3,../../datas/origin_datas/images_part/8.jpg,../../datas/origin_datas/new_data_by_keys/8.json,韩国用疯小众朝牌南包皮制大包多功能单坚协跨包朝手提包建身包。,韩国ins风小众潮牌男包皮质大包多功能单肩斜挎包潮手提包健身包
9,../../datas/origin_datas/audio_part/9.mp3,../../datas/origin_datas/images_part/9.jpg,../../datas/origin_datas/new_data_by_keys/9.json,Duky's双肩被大容量电脑旅行男士商务出差出中高中大学生输包心。,Dickies双肩背大容量电脑旅行男士商务出差初中高中大学生书包新
10,../../datas/origin_datas/audio_part/10.mp3,../../datas/origin_datas/images_part/10.jpg,../../datas/origin_datas/new_data_by_keys/10.json,Rogis-Y-Lujie-S-506 也赢登山包户外男女防水双肩包BN-017,ROGISI陆杰士 50L野营登山包 户外男女防水双肩包 BN-017
11,../../datas/origin_datas/audio_part/11.mp3,../../datas/origin_datas/images_part/11.jpg,../../datas/origin_datas/new_data_by_keys/11.json,二离手做复古翻步包男女生单尖协跨多卑法包大容量修嫌通勤手提包。,贰狸手作复古帆布包男女生单肩斜挎多背法包大容量休闲通勤手提包
12,../../datas/origin_datas/audio_part/12.mp3,../../datas/origin_datas/images_part/12.jpg,../../datas/origin_datas/new_data_by_keys/12.json,《刘尔秋冬新款》《软皮大包》《复古脱脱包》《大容量通勤包丹间鞋跨包角子包男女》,ur秋冬新款软皮大包复古托特包大容量通勤包单肩斜挎包饺子包男女
13,../../datas/origin_datas/audio_part/13.mp3,../../datas/origin_datas/images_part/13.jpg,../../datas/origin_datas/new_data_by_keys/13.json,男士双肩包翻部电脑通勤大容量轻便大学生输包美式出差旅行背包女。,男士双肩包帆布电脑通勤大容量轻便大学生书包美式出差旅行背包女
14,../../datas/origin_datas/audio_part/14.mp3,../../datas/origin_datas/images_part/14.jpg,../../datas/origin_datas/new_data_by_keys/14.json,Stalks Morton Kid白蛇断处双肩包反皮纹理书包电脑包旅行包男女潮,STK SmallTownKid白蛇断处双肩包仿皮纹理书包电脑包旅行包男女潮
15,../../datas/origin_datas/audio_part/15.mp3,../../datas/origin_datas/images_part/15.jpg,../../datas/origin_datas/new_data_by_keys/15.json,波斯单顿朝牌双肩背包男旅行大容量防水电脑数包女2025新款大学生。,波斯丹顿潮牌双肩背包男旅行大容量防水电脑书包女2025新款大学生
16,../../datas/origin_datas/audio_part/16.mp3,../../datas/origin_datas/images_part/16.jpg,../../datas/origin_datas/new_data_by_keys/16.json,是自由网朝牌软皮鞋跨包南小众设计通勤单间包大容量脱特包南包。,是自由啊 潮牌软皮斜挎包男小众设计通勤单肩包大容量托特包男包
17,../../datas/origin_datas/audio_part/17.mp3,../../datas/origin_datas/images_part/17.jpg,../../datas/origin_datas/new_data_by_keys/17.json,Jansport 初中学生输包女双监被包通勤户外旅行大容量南式电脑。,JanSport初中学生书包女双肩背包通勤户外旅行大容量男士电脑
18,../../datas/origin_datas/audio_part/18.mp3,../../datas/origin_datas/images_part/18.jpg,../../datas/origin_datas/new_data_by_keys/18.json,黑田史卫原创小众高级感批置通勤双肩包男士大学生女书包背包店子。,黑田矢卫原创小众高级感皮质通勤双肩包男士大学生女书包背包ins
19,../../datas/origin_datas/audio_part/19.mp3,../../datas/origin_datas/images_part/19.jpg,../../datas/origin_datas/new_data_by_keys/19.json,NESPECT 拥览设计感软皮 南包 鞋 跨包2025 新款 纯色 简约风 大容量 脚子包,NESBIT慵懒设计感软皮男包斜挎包2025新款纯色简约风大容量饺子包
20,../../datas/origin_datas/audio_part/20.mp3,../../datas/origin_datas/images_part/20.jpg,../../datas/origin_datas/new_data_by_keys/20.json,"One time, 藏藏双肩包2025超火精致包包大学生小众填苦绿油清扁。",onetime脏脏双肩包2025超火精致包包大学生小众甜酷旅游轻便
21,../../datas/origin_datas/audio_part/21.mp3,../../datas/origin_datas/images_part/21.jpg,../../datas/origin_datas/new_data_by_keys/21.json,今年流行的高级港黑色南胞大容量通勤脱特包剪约百大单件协跨包潮。,今年流行的高级感黑色男包大容量通勤托特包简约百搭单肩斜挎包潮
